,Kraj,Sprzedawca,Data zamowienia,idZamowienia,Utarg
529,Polska,King,2005-01-21,10777,224.0
531,Niemcy,Leverling,2005-01-14,10779,1335.0
540,Niemcy,Davolio,2005-01-19,10788,731.5
543,Polska,Sowiński,2005-01-01,10791,1829.76
545,Niemcy,Leverling,2005-01-08,10793,191.1
546,Polska,Sowiński,2005-01-02,10794,314.76
547,Niemcy,Callahan,2005-01-20,10795,2158.0
548,Niemcy,Leverling,2005-01-14,10796,2341.36
549,Polska,King,2005-01-05,10797,420.0
550,Niemcy,Fuller,2005-01-05,10798,446.6
551,Polska,Dudek,2005-01-05,10799,1553.5
552,Niemcy,Davolio,2005-01-05,10800,1468.93
554,Niemcy,Peacock,2005-01-02,10802,2942.81
555,Niemcy,Peacock,2005-01-06,10803,1193.01
556,Polska,Sowiński,2005-01-07,10804,2278.4
557,Niemcy,Fuller,2005-01-09,10805,2775.0
558,Niemcy,Leverling,2005-01-05,10806,439.6
559,Niemcy,Peacock,2005-01-30,10807,18.4
560,Niemcy,Fuller,2005-01-09,10808,1411.0
561,Polska,King,2005-01-07,10809,140.0
562,Niemcy,Fuller,2005-01-07,10810,187.0
563,Niemcy,Callahan,2005-01-08,10811,852.0
564,Polska,Kowalski,2005-01-12,10812,1692.8
565,Niemcy,Davolio,2005-01-09,10813,602.4
566,Niemcy,Leverling,2005-01-14,10814,1788.45
567,Niemcy,Fuller,2005-01-14,10815,40.0
568,Niemcy,Peacock,2005-02-04,10816,8446.45
569,Niemcy,Leverling,2005-01-13,10817,10952.84
570,Polska,King,2005-01-12,10818,833.0
571,Niemcy,Fuller,2005-01-16,10819,477.0
572,Niemcy,Leverling,2005-01-13,10820,1140.0
573,Niemcy,Davolio,2005-01-15,10821,678.0
574,Polska,Sowiński,2005-01-16,10822,237.9
575,Polska,Kowalski,2005-01-13,10823,2826.0
576,Niemcy,Callahan,2005-01-30,10824,250.8
577,Niemcy,Davolio,2005-01-14,10825,1030.76
578,Polska,Sowiński,2005-02-06,10826,730.0
579,Niemcy,Davolio,2005-02-06,10827,843.0
